fid,Day,Hour,Uncertainty
1,2022-10-29,11:33:21,10
2,2022-10-07,11:43:49,10
3,2022-08-28,11:43:49,10
4,2022-06-04,11:44:01,10
5,2022-06-01,11:33:31,10
6,2022-05-07,11:33:19,10
7,2022-04-20,11:43:49,10
8,2022-03-26,11:43:51,10
9,2022-03-21,11:43:49,10
10,2022-03-08,11:33:19,10
11,2022-03-06,11:43:51,10
12,2022-03-01,11:43:49,10
13,2022-02-19,11:43:49,10
14,2022-02-09,11:43:49,10
15,2021-07-01,11:33:19,10
16,2021-04-22,11:33:09,10
17,2021-04-17,11:33:11,10
18,2021-03-18,11:33:21,10
19,2021-03-01,11:43:51,10
20,2021-02-16,11:33:21,10
21,2021-02-01,11:33:19,10
22,2020-11-06,11:43:49,10
23,2020-11-03,11:33:19,10
24,2020-07-31,11:33:31,10
25,2020-06-01,11:33:31,10
26,2020-05-30,11:43:49,10
27,2020-05-07,11:33:19,10
28,2020-04-15,11:43:51,10
29,2020-03-11,11:43:49,10
30,2020-02-20,11:43:49,10
31,2020-02-07,11:33:09,10
32,2019-10-30,11:33:19,10
33,2019-10-25,11:33:21,10
34,2019-07-15,11:43:59,10
35,2019-06-27,11:33:21,10
36,2019-02-02,11:33:19,10
37,2019-01-31,11:43:51,10
38,2018-11-17,11:43:49,10
39,2018-10-10,11:33:21,10
40,2018-09-20,11:33:11,10
41,2018-07-07,11:33:19,10
42,2018-07-05,11:43:51,10
43,2018-06-27,11:33:19,10
44,2018-05-28,11:33:19,10
45,2018-05-23,11:33:21,10
46,2018-03-07,11:43:51,10
47,2018-02-22,11:33:21,10
48,2018-02-05,11:43:51,10
49,2018-01-01,11:44:59,10
50,2017-11-17,11:43:51,10
51,2017-11-04,11:33:21,10
52,2017-10-25,11:33:21,10
53,2017-07-17,11:33:21,10
